,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Natural Gas,Other Renewable,Nuclear
53,2005-06-01,733.9432475,6490.15079417,,24.2506141667,11383.0129017,1261.44699083,308.197529167,2553.79875
54,2005-07-01,701.065431667,6508.48314833,,23.321235,11460.3500275,1346.40177667,309.073103333,2560.79716667
55,2005-08-01,636.933050833,6516.0421925,,22.1816525,11512.4888558,1452.94331,314.56327,2558.38583333
56,2005-09-01,612.330816667,6515.73280417,,21.1755475,11581.7419283,1549.1083225,318.547775833,2553.44258333
57,2005-10-01,596.583608333,6475.50690417,,19.2831483333,11559.4747075,1573.4803025,319.86602,2563.23808333
58,2005-11-01,594.841688333,6469.64393833,,18.4378391667,11621.6202142,1629.66627667,321.971615,2575.19341667
59,2005-12-01,621.565678333,6490.62898417,,17.6405266667,11758.8553683,1642.58856083,321.441651667,2652.78258333
60,2006-01-01,604.3155,6509.05568167,,15.0138341667,11741.2867758,1617.26847667,323.705145,2659.258
61,2006-02-01,615.9559975,6518.930725,,14.1694575,11812.4907908,1663.56417417,320.984060833,2666.0175
62,2006-03-01,580.5177825,6538.93591667,,14.1724508333,11877.9593533,1777.10933333,320.779863333,2634.68158333
63,2006-04-01,554.0219125,6579.94225833,,14.0065283333,11882.0132008,1782.8548125,319.470705,2619.78475
64,2006-05-01,520.825349167,6615.34475833,,13.7962141667,11885.9833,1833.4851625,319.7466925,2570.90125
65,2006-06-01,490.741589167,6650.60700083,,14.5309041667,11901.9048242,1826.24617917,320.062558333,2587.54675
66,2006-07-01,484.786364167,6669.80031667,,14.7412091667,11925.52639,1796.04272667,319.89355,2627.65483333
67,2006-08-01,478.688119167,6698.42594417,,14.5111625,11945.1156492,1726.12309,319.866239167,2694.62008333
68,2006-09-01,472.704671667,6682.68848417,,14.29452,12013.6338858,1776.09531167,319.723778333,2734.84391667
69,2006-10-01,457.175228333,6683.11621,,14.341805,12093.7710883,1833.02643,318.913750833,2773.66533333
70,2006-11-01,434.231641667,6647.47296333,,14.04383,12092.7426092,1874.8526775,316.726655833,2791.29683333
71,2006-12-01,378.5914275,6567.29219167,,13.41963,11992.4582092,1896.97929667,318.03332,2803.68816667
72,2007-01-01,344.676166667,6499.48003083,,13.0768241667,11985.5225683,1935.98135833,316.718345,2860.42725
73,2007-02-01,304.7116175,6516.87377083,,14.8087408333,12080.5072908,2025.67524917,315.031846667,2887.88758333
74,2007-03-01,326.5933625,6488.66492917,,14.3328391667,12133.7646767,1974.74582333,313.13385,2999.61875
75,2007-04-01,367.576385833,6476.62407833,,14.1658533333,12270.0841083,1979.92760083,312.563523333,3102.24425
76,2007-05-01,392.206726667,6472.85909667,,14.4978183333,12289.5722683,1896.59144417,309.077055,3187.62333333
77,2007-06-01,407.488840833,6436.2331275,,13.7550033333,12274.2087058,1840.62740583,305.439319167,3253.9415
78,2007-07-01,406.658331667,6401.61067833,,14.0487433333,12287.9580158,1869.20957083,302.757155833,3276.90658333
79,2007-08-01,405.383155,6377.14117083,,14.4713633333,12282.0105675,1913.54846667,298.619623333,3255.57083333
80,2007-09-01,413.981083333,6322.76952083,,14.8361033333,12153.2040875,1822.84978083,295.362268333,3265.28508333
81,2007-10-01,418.139690833,6290.98016583,,15.5684641667,12107.2730458,1796.07128083,292.443323333,3275.75758333
82,2007-11-01,422.780994167,6247.25119833,,16.0886908333,12093.2206733,1796.43174333,291.448150833,3301.09033333
83,2007-12-01,427.87121,6254.26446917,,17.0132083333,12116.6236283,1870.20187167,286.289129167,3242.91391667
84,2008-01-01,511.345668333,6217.05399667,,17.0220725,12155.8246,1863.57656333,279.776116667,3249.38675
85,2008-02-01,569.573484167,6172.644155,,16.4522291667,12225.9069167,1871.72539833,275.742475833,3300.11
86,2008-03-01,551.932273333,6109.1197825,,17.3840858333,12175.0490542,1952.82720583,271.067215,3251.16741667
87,2008-04-01,575.2147175,5944.8964275,,18.1549725,12119.9259783,2056.82462667,266.387504167,3235.87358333
88,2008-05-01,615.419319167,5730.5446375,,17.891765,12068.6951417,2179.77658417,262.31444,3238.17758333
89,2008-06-01,689.152544167,5548.55998833,,17.7886125,12050.9306092,2312.45583667,260.7066175,3196.20525
90,2008-07-01,709.045805,5369.7973975,,17.5655908333,11923.0243992,2402.42924667,258.0337375,3138.78541667
91,2008-08-01,717.319013333,5192.63172333,,17.8330441667,11820.0610833,2445.59581833,256.488521667,3161.16333333
92,2008-09-01,719.012221667,5094.57330417,,17.6938391667,11789.4061158,2495.47425167,255.153225,3176.23883333
93,2008-10-01,773.909353333,4977.73863083,,17.4522283333,11801.9205983,2573.21786167,255.178404167,3170.26016667
94,2008-11-01,878.728130833,4884.62585167,,17.6126633333,11839.8027642,2569.29904583,254.607909167,3197.82175
95,2008-12-01,983.315229167,4751.3305825,,17.4425158333,11907.3335825,2558.52991917,254.133311667,3302.876
96,2009-01-01,1044.61441667,4634.06031917,,18.2728066667,11937.9629692,2634.75689,254.154753333,3309.68366667
97,2009-02-01,1055.41746667,4622.64498417,,18.9949883333,11971.8903633,2687.26769417,250.8972825,3294.5645
98,2009-03-01,1135.47910833,4635.50324583,,18.2279583333,12107.1801458,2699.1246575,248.765708333,3328.49066667
99,2009-04-01,1136.21094167,4705.37950417,,17.603615,12140.1649383,2694.58696333,245.33456,3297.18275
100,2009-05-01,1099.83084,4799.270015,,17.8073658333,12164.2430392,2662.79907417,243.90087,3295.7635
101,2009-06-01,1058.61985333,4912.06101167,,17.9483266667,12321.4820433,2703.2810525,237.961954167,3344.28875
102,2009-07-01,1054.2162525,5045.995815,,17.6605908333,12511.5414275,2722.04493917,233.2400225,3388.86216667
103,2009-08-01,1048.85534833,5152.62714583,,17.4232175,12638.7438825,2792.13826333,227.472799167,3349.21825
104,2009-09-01,1043.69195917,5177.72394417,,17.2872475,12672.7820267,2891.73366917,221.164649167,3269.07691667
105,2009-10-01,995.230848333,5202.91998417,,17.0102533333,12715.3528375,2950.23531083,213.84578,3283.65875
106,2009-11-01,897.324410833,5180.46950333,,16.7216,12663.3402517,3063.7258625,205.06229,3247.60025
107,2009-12-01,813.261718333,5200.587205,,16.5687741667,12582.3714458,3129.82960583,200.433354167,3168.55041667
108,2010-01-01,725.3545,5254.20088583,,16.6544625,12679.2093392,3269.5847625,198.082169167,3161.73508333
109,2010-02-01,672.448891667,5252.81505417,,14.695335,12711.2692533,3348.02818333,201.938341667,3167.11716667
110,2010-03-01,599.451789167,5206.31097,,14.58126,12654.35194,3413.96816917,205.13508,3158.85141667
111,2010-04-01,630.423830833,5168.93414833,,14.2067741667,12705.0476508,3453.77368167,208.221455833,3175.27
112,2010-05-01,700.387768333,5084.5583025,,13.7029358333,12764.13947,3498.0742175,211.903001667,3201.35833333
113,2010-06-01,674.820426667,5015.21012583,,13.6865775,12565.9504,3535.19025,215.800386667,3057.33383333
114,2010-07-01,666.224978333,4989.61883667,,13.57302,12584.636975,3573.08945583,219.645484167,3068.35066667
115,2010-08-01,673.839341667,4999.06076333,,12.9680966667,12692.6460583,3623.61097583,222.401338333,3106.82191667
116,2010-09-01,669.616206667,5017.12695417,,12.5784275,12852.7653125,3687.71993083,225.6977925,3186.03425
117,2010-10-01,685.0617925,4923.42986167,,12.4437141667,12844.6441608,3752.75329917,227.984545833,3188.55708333
118,2010-11-01,689.481735833,4921.0659875,,11.83883,12906.2062725,3791.36089083,229.480900833,3207.61783333
119,2010-12-01,704.888154167,4866.92681167,,11.0475883333,13076.937165,3928.264015,232.271676667,3277.736
120,2011-01-01,740.299834167,4733.94608583,,10.0320016667,13028.267485,3973.42116333,234.721825,3279.67683333
121,2011-02-01,798.334773333,4524.63537333,,10.3071958333,12946.9793758,4040.09726,232.911324167,3284.73091667
122,2011-03-01,829.4976625,4346.28793917,,9.68947333333,12950.4053683,4168.17654333,234.430876667,3307.13816667
123,2011-04-01,793.1605425,4178.9979725,,9.499175,12920.2634583,4279.005195,232.434961667,3371.25608333
124,2011-05-01,694.84298,4119.675565,,9.20600666667,12857.3643142,4432.17782583,231.047735,3314.30908333
125,2011-06-01,669.969758333,3987.27785833,,8.71160083333,12984.7322308,4601.30247083,230.989319167,3431.47333333
126,2011-07-01,662.118586667,3865.32161667,,8.86344833333,12920.2801592,4673.79654667,230.241928333,3428.10158333
127,2011-08-01,656.092110833,3796.36521667,,8.80541,12910.0926792,4745.435315,230.020850833,3424.17933333
128,2011-09-01,663.042848333,3734.878545,,8.70408916667,12851.4061483,4731.32164833,229.4569475,3437.74291667
129,2011-10-01,658.210844167,3749.58696833,,8.51227083333,12879.99954,4742.94957333,231.149905833,3446.36016667
130,2011-11-01,670.358409167,3726.13955833,,9.0870175,12857.0572133,4717.84166083,230.4597375,3463.27383333
131,2011-12-01,658.7200825,3766.10103167,,9.2777,12776.4108833,4658.79902,230.687913333,3416.12583333
132,2012-01-01,619.601918333,3800.57664833,,9.13193166667,12739.8906408,4642.08337083,231.379499167,3403.43433333
133,2012-02-01,618.29746,3838.28103583,,8.53878,12712.8847,4572.9820025,232.329748333,3410.75925
134,2012-03-01,657.690898333,3906.65403583,,8.76868833333,12732.353785,4530.53623333,231.599670833,3367.64791667
135,2012-04-01,667.589395,3984.3389075,,8.63174833333,12778.2889275,4553.399975,233.439478333,3303.42058333
136,2012-05-01,738.045705833,4046.389515,,8.63784083333,12811.3062217,4455.6106475,233.2183975,3304.64008333
137,2012-06-01,837.9583875,4091.27149917,,8.47562666667,12800.13841,4264.40255083,232.897935833,3342.06925
138,2012-07-01,889.398014167,4078.34111917,,8.08720083333,12745.330355,4165.28927417,233.875974167,3347.13291667
139,2012-08-01,964.306045,3971.0596375,,7.98974666667,12586.0264183,4026.80662667,235.477674167,3356.75741667
140,2012-09-01,992.942206667,3934.86966417,,7.84990666667,12509.4147542,3954.0955575,238.123428333,3357.92208333
141,2012-10-01,1004.944635,3954.58003833,,7.66148666667,12471.378225,3891.91908667,239.0230325,3349.29158333
142,2012-11-01,1010.5453525,3972.36568333,,6.99234583333,12504.1966358,3921.1848325,240.5409025,3328.554
143,2012-12-01,1018.43177167,3931.85217417,,6.71056083333,12535.7437958,3927.54329167,240.637189167,3386.42525
144,2013-01-01,1074.93150083,3920.87366083,,6.17758083333,12547.743655,3882.19877083,239.631535,3401.34458333
145,2013-02-01,1068.74264667,3998.97434833,,8.28514916667,12667.1263433,3935.47990333,238.916253333,3394.65375
146,2013-03-01,1051.765865,4088.50183833,,8.39457166667,12589.4475067,3782.39617583,237.177735833,3399.30541667
147,2013-04-01,1024.10800083,4080.25841583,,8.42949166667,12518.8065392,3726.4504525,236.826095833,3421.7675
148,2013-05-01,1014.03553583,4042.61779667,,8.65975916667,12535.6704442,3685.6831775,237.595009167,3525.91475
149,2013-06-01,942.36615,4063.0052675,,8.59453166667,12571.3743517,3755.47228167,239.709834167,3541.53291667
150,2013-07-01,914.7448975,4078.99402583,,8.7193925,12569.9791592,3764.91414583,238.448718333,3543.70725
151,2013-08-01,847.528650833,4134.23528333,,8.4767625,12562.4720542,3770.459635,236.769608333,3545.05291667
152,2013-09-01,816.855493333,4148.81312,,8.343655,12532.4580008,3786.86361,233.978223333,3519.70625
153,2013-10-01,801.7180875,4104.56287333,,8.61093083333,12525.2942942,3848.97581667,231.954713333,3513.56825
154,2013-11-01,814.033495833,4029.81163333,,8.40488333333,12450.5356933,3889.3075025,232.927278333,3461.81133333
155,2013-12-01,827.575360833,3976.1227875,,8.68718083333,12461.88174,3970.494955,230.912040833,3434.205
156,2014-01-01,788.906000833,3941.80219,,8.17500083333,12445.0372575,4022.5062,231.585085833,3436.97408333
157,2014-02-01,777.357393333,3821.31816833,,6.53794583333,12382.4122483,4080.90179083,235.574651667,3446.582
158,2014-03-01,738.2364025,3736.1517725,,6.6789975,12456.5696608,4241.02705917,239.722236667,3481.84716667
159,2014-04-01,759.728710833,3672.65099833,,6.85740833333,12456.85189,4285.5871925,243.218266667,3476.58925
160,2014-05-01,777.277314167,3625.34631,,6.40750166667,12415.9914975,4358.676495,245.88608,3391.81275
161,2014-06-01,767.455104167,3585.05323833,,6.4919475,12401.8414975,4415.8459175,247.6968,3370.58591667
162,2014-07-01,752.998798333,3577.33152,,6.26631583333,12460.1711925,4493.74979333,249.787485833,3373.19158333
163,2014-08-01,773.424138333,3572.76985917,,6.43678333333,12576.7373967,4593.29896,253.868353333,3370.49208333
164,2014-09-01,777.888808333,3537.77586,,6.4902175,12613.5674125,4632.67017667,258.030965,3394.08625
165,2014-10-01,772.761606667,3554.63177667,,6.27450416667,12649.09,4648.04761083,259.777771667,3401.2025
166,2014-11-01,764.359863333,3549.48394333,,6.39651583333,12758.3630925,4664.385765,264.226961667,3503.39808333
167,2014-12-01,783.988815833,3519.202175,,6.21305,12728.4057708,4632.01905417,269.9548125,3512.49016667
168,2015-01-01,821.81702,3450.86912583,,7.017335,12706.4522258,4653.70472583,274.106996667,3495.9485
169,2015-02-01,856.770108333,3402.08001917,,6.63520583333,12655.09008,4632.19018333,272.982644167,3481.67916667
170,2015-03-01,914.934596667,3324.395515,,6.03600833333,12587.7419567,4610.45459583,273.977375833,3455.23125
171,2015-04-01,905.2324175,3292.84956333,,5.87414833333,12535.0564192,4614.15904917,274.092275833,3440.19475
172,2015-05-01,852.068320833,3234.41393083,,5.59055916667,12476.9218075,4626.82650583,270.490969167,3484.86033333
173,2015-06-01,837.505474167,3128.70173583,,5.3307875,12377.5529108,4637.34696917,271.4167975,3494.39358333
174,2015-07-01,825.415821667,3013.24199083,,5.19923416667,12268.9017983,4657.64059083,274.67671,3489.71083333
175,2015-08-01,790.396313333,2925.3288025,,5.04493916667,12173.34166,4700.600735,275.133329167,3475.354
