,DateTime,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Petroleum Coke,Other Renewable
128,2011-09-01,86.9351583333,1.79908083333,1.73869083333,691.308900833,0.375309166667,566.333530833,0.0,12.2554516667
129,2011-10-01,94.7218041667,1.78668583333,1.77492666667,710.0245,0.367279166667,578.842846667,0.0,11.91154
130,2011-11-01,102.6464275,1.84777916667,1.84493333333,723.266959167,0.343421666667,584.601353333,0.0,11.8139241667
131,2011-12-01,113.943651667,1.82829916667,1.87611583333,715.14173,0.320445833333,566.712389167,0.0,11.3681008333
132,2012-01-01,118.558545,1.87991583333,1.80201833333,719.474500833,0.3031675,567.893936667,0.0,10.920885
133,2012-02-01,122.462713333,1.93017916667,2.19966583333,712.1384025,0.301288333333,557.627918333,0.0,10.3317875
134,2012-03-01,122.8157825,2.07814833333,2.227195,697.582925,0.308348333333,543.878211667,0.0,10.0952458333
135,2012-04-01,128.591579167,2.1829,2.3239625,711.194611667,0.322173333333,553.05988,0.0,9.78626916667
136,2012-05-01,132.50364,2.21972333333,2.22717,689.710363333,0.3301575,529.065640833,0.0,9.67795666667
137,2012-06-01,128.936859167,2.40083666667,2.2009025,674.811426667,0.352608333333,518.806535,0.0,9.39268916667
138,2012-07-01,130.428599167,2.6125425,1.93530166667,666.53829,0.351764166667,511.402629167,0.0,9.21948416667
139,2012-08-01,129.970085833,2.761405,2.02816916667,660.036643333,0.3471425,506.55921,0.0,8.74765
140,2012-09-01,130.245200833,2.96645416667,1.9648175,655.222508333,0.352486666667,502.746345833,0.0,8.70051416667
141,2012-10-01,128.521430833,3.2088225,2.03993916667,650.0904425,0.351111666667,498.693406667,0.0,8.66380583333
142,2012-11-01,129.397715,3.45054083333,1.97479916667,649.012669167,0.344660833333,497.205755,0.0,8.77758916667
143,2012-12-01,126.6595975,3.59549166667,1.90471666667,651.741605833,0.3627825,502.0406325,0.0,8.7797
144,2013-01-01,128.726709167,3.72725083333,1.9093375,646.7384175,0.3715,494.273989167,0.0,8.8776675
145,2013-02-01,134.912491667,3.76552416667,11.9148041667,656.684466667,0.373803333333,487.364595833,0.0,9.11361916667
146,2013-03-01,147.668181667,3.80222333333,13.1526766667,668.1980725,0.372729166667,484.455818333,0.0,9.28655666667
147,2013-04-01,150.335358333,3.85830166667,15.4281383333,655.849358333,0.37584,466.5335775,0.0,9.53295416667
148,2013-05-01,148.911834167,3.9519275,15.4930675,657.04412,0.379411666667,468.605140833,0.0,9.79781333333
149,2013-06-01,147.1582425,4.02156,15.44932,649.662258333,0.371519166667,462.733008333,0.0,10.0015975
150,2013-07-01,137.43749,4.0194125,15.5575408333,645.998346667,0.3691025,467.760738333,0.0,10.134015
151,2013-08-01,124.2638275,4.05382083333,15.3527133333,632.42224,0.376401666667,467.588061667,0.0,10.2782358333
152,2013-09-01,111.210141667,4.10609416667,15.32285,631.218524167,0.379908333333,478.59887,0.0,10.4652441667
153,2013-10-01,105.683080833,4.07676666667,15.2097333333,638.4896875,0.386356666667,489.6616125,0.0,10.5422808333
154,2013-11-01,93.2897066667,4.1383425,15.1870583333,625.500783333,0.413828333333,488.0986425,0.0,10.7687291667
155,2013-12-01,81.3575833333,4.13203166667,15.1695208333,633.706735833,0.417225833333,507.081036667,0.0,10.8566441667
156,2014-01-01,72.1153533333,4.12750083333,15.27347,641.965293333,0.420916666667,524.7882,0.0,10.923365
157,2014-02-01,68.006035,4.12760083333,7.48028583333,645.7932975,0.4209575,540.885006667,0.0,10.8319208333
158,2014-03-01,66.5424791667,4.02750083333,13.9739866667,646.088806667,0.421868333333,535.997171667,0.0,10.6802458333
159,2014-04-01,59.5745033333,3.97951416667,11.98061,633.022568333,0.428909166667,531.772759167,0.0,10.5466558333
160,2014-05-01,52.0264575,3.97942916667,11.6611083333,656.377773333,0.4289475,562.8243525,0.0,10.501715
161,2014-06-01,47.3765958333,4.02932083333,11.7570783333,676.053895833,0.423124166667,586.6011875,0.0,10.4918925
162,2014-07-01,45.8844841667,4.113255,11.883115,679.777361667,0.437255,591.2130075,0.0,10.5401616667
163,2014-08-01,45.3388866667,4.21985333333,11.8349458333,685.322655,0.434921666667,597.735656667,0.0,10.7046233333
164,2014-09-01,50.9329841667,4.24978166667,12.2410491667,689.4987225,0.429705,596.231865,0.0,10.7719966667
165,2014-10-01,48.5168141667,4.20368416667,12.3041608333,690.251846667,0.430674166667,599.1384175,0.0,10.7758875
166,2014-11-01,48.649505,4.02939666667,12.1920891667,686.698441667,0.425165,596.263513333,0.0,10.6543875
167,2014-12-01,50.5361891667,3.98946666667,12.4689208333,668.563059167,0.426244166667,576.32146,0.0,10.6827675
168,2015-01-01,49.8823366667,4.04263166667,12.8444891667,650.833798333,0.4271675,557.43889,0.0,10.8279641667
169,2015-02-01,50.9054033333,4.00267083333,11.9987683333,641.0888075,0.429295,547.0639525,0.0,10.7468716667
170,2015-03-01,41.5618508333,4.03744083333,6.36483916667,638.944173333,0.438648333333,559.9884775,0.0,10.7806425
171,2015-04-01,37.5739933333,4.03440833333,5.7639075,650.598844167,0.424875833333,576.071555,0.0,10.7320425
172,2015-05-01,37.5739933333,4.00358416667,5.78850083333,645.069544167,0.420309166667,569.02292,0.0,10.6940375
173,2015-06-01,34.7152408333,3.849445,5.75819,633.739631667,0.420920833333,559.761435833,0.0,10.5442266667
174,2015-07-01,32.357065,3.7254925,5.60646166667,645.296595,0.4171325,573.450700833,0.0,10.4098766667
175,2015-08-01,38.3698341667,3.58222166667,5.8779925,671.392048333,0.418578333333,592.449106667,0.0,10.1727633333
176,2015-09-01,41.8482033333,3.57561333333,5.78456833333,694.608954167,0.422829166667,611.6698,0.0,10.0935308333
177,2015-10-01,41.1157233333,3.69069166667,5.7481075,695.057293333,0.42297,614.992996667,0.0,10.1350025
178,2015-11-01,41.1157233333,3.84318666667,5.72084583333,720.470688333,0.4247725,639.759139167,0.0,10.13014
179,2015-12-01,39.1748641667,4.08146916667,5.5138025,730.4919675,0.420315,652.341505833,0.0,10.2521766667
180,2016-01-01,39.94582,4.25712916667,5.21428083333,727.605046667,0.443418333333,648.9557075,0.0,10.36613
181,2016-02-01,30.5990558333,4.26990583333,3.37192416667,714.216303333,0.434685833333,647.060504167,0.0,10.4060408333
182,2016-03-01,24.7552875,4.30150833333,1.21094916667,706.133556667,0.422539166667,646.782883333,0.0,10.4349008333
183,2016-04-01,27.12789,4.28863,1.46383833333,712.845975833,0.444655833333,649.980040833,0.0,10.4338883333
184,2016-05-01,27.7702366667,4.31199,1.66931166667,689.170648333,0.437633333333,625.4360275,0.0,10.37655
185,2016-06-01,28.3909466667,4.35958416667,1.57452583333,707.404489167,0.453091666667,643.6393575,0.0,10.3757516667
186,2016-07-01,28.8667983333,4.396915,1.658285,702.608749167,0.439813333333,638.629951667,0.0,10.3386908333
187,2016-08-01,28.2702191667,4.4640775,1.29944666667,689.052631667,0.435589166667,625.956474167,0.0,10.345775
188,2016-09-01,21.0420533333,4.41178583333,0.965033333333,662.355765833,0.44017,607.47438,0.0,10.2318808333
189,2016-10-01,22.2481358333,4.37237166667,0.91937,650.458639167,0.452534166667,594.908340833,0.0,10.1505516667
190,2016-11-01,22.4197766667,4.29825166667,1.08129083333,632.460829167,0.443975,575.692245,0.0,10.0854933333
191,2016-12-01,25.5190625,4.2539275,1.11058583333,615.905029167,0.445015,555.825863333,0.0,10.00727
192,2017-01-01,29.8997608333,4.1903825,2.1177525,624.66469,0.41375,560.2656975,0.0,9.83871666667
193,2017-02-01,35.3024066667,4.37384636364,13.2965391667,638.072068333,0.402916666667,556.869510833,0.0,9.79652666667
194,2017-03-01,34.6750233333,4.42582636364,14.48977,636.60781,0.405416666667,555.927055,0.0,9.80936833333
195,2017-04-01,32.0338466667,4.49611090909,15.889329,624.494041667,0.40475,546.882193333,0.0,9.8633175
196,2017-05-01,31.3915,4.62725090909,17.6175211111,627.925730833,0.426666666667,552.371731667,0.0,10.0075566667
197,2017-06-01,31.1075366667,4.76594636364,17.7927611111,595.194390833,0.414166666667,520.047768333,0.0,10.1137266667
198,2017-07-01,33.2714366667,5.10031272727,17.7863211111,560.9356325,0.421583333333,483.327725833,0.0,10.4615208333
199,2017-08-01,30.0439875,5.28172181818,17.90907,526.452635,0.429333333333,452.103498333,0.0,10.6667441667
